code	country	areacode	state	GMT	DST	DST_RANGE	GEOGRAPHIC DESCRIPTION	TZ_CODE	PHP_TZ
52	MEX	417		-6	Y	FSA-LSO	Acambarowyq	CST	America/Mexico_City
52	MEX	418		-6	Y	FSA-LSO	Adjuntas Del Rio  Las Adjuntas aqe	CST	America/Mexico_City
52	MEX	419		-6	Y	FSA-LSO	Ajuchitlandec	CST	America/Mexico_City
52	MEX	421		-6	Y	FSA-LSO	Coroneor	CST	America/Mexico_City
52	MEX	422		-6	Y	FSA-LSO	Ario De Rosales	CST	America/Mexico_City
52	MEX	423		-6	Y	FSA-LSO	Ahuirany	CST	America/Mexico_City
52	MEX	424		-6	Y	FSA-LSO	Bonifacio Moreno  El Aguaje 	CST	America/Mexico_City
52	MEX	425		-6	Y	FSA-LSO	Antunez  Morelos 	CST	America/Mexico_City
52	MEX	426		-6	Y	FSA-LSO	Aguilillaisx	CST	America/Mexico_City
52	MEX	427		-6	Y	FSA-LSO	Polotitlan	CST	America/Mexico_City
52	MEX	428		-6	Y	FSA-LSO	Carreton, Elnxf	CST	America/Mexico_City
52	MEX	429		-6	Y	FSA-LSO	Abasoloazi	CST	America/Mexico_City
52	MEX	431		-6	Y	FSA-LSO	Caqadas De Obregonc	CST	America/Mexico_City
52	MEX	432		-6	Y	FSA-LSO	Calzada De La Merced, Lawxm	CST	America/Mexico_City
52	MEX	433		-6	Y	FSA-LSO	Benito Juarezrun	CST	America/Mexico_City
52	MEX	434		-6	Y	FSA-LSO	Acuitzio Del Canje	CST	America/Mexico_City
52	MEX	435		-6	Y	FSA-LSO	Angao  Angao De Los Herrera 	CST	America/Mexico_City
52	MEX	436		-6	Y	FSA-LSO	Cantabriaz	CST	America/Mexico_City
52	MEX	437		-6	Y	FSA-LSO	Atolinga	CST	America/Mexico_City
52	MEX	438		-6	Y	FSA-LSO	Barranca, Layq	CST	America/Mexico_City
52	MEX	441		-6	Y	FSA-LSO	Agua Zarcac	CST	America/Mexico_City
52	MEX	442		-6	Y	FSA-LSO	Queretaro	CST	America/Mexico_City
52	MEX	443		-6	Y	FSA-LSO	Morelia, Mich.q	CST	America/Mexico_City
52	MEX	444		-6	Y	FSA-LSO	San Luis Potosi	CST	America/Mexico_City
52	MEX	445		-6	Y	FSA-LSO	Moroleon	CST	America/Mexico_City
52	MEX	447		-6	Y	FSA-LSO	Apeopwp	CST	America/Mexico_City
52	MEX	448		-6	Y	FSA-LSO	Amealcoz	CST	America/Mexico_City
52	MEX	449		-6	Y	FSA-LSO	Aguascalientes, Ags.n	CST	America/Mexico_City
52	MEX	451		-6	Y	FSA-LSO	Araron	CST	America/Mexico_City
52	MEX	452		-6	Y	FSA-LSO	Uruapan, Mich.d	CST	America/Mexico_City
52	MEX	453		-6	Y	FSA-LSO	Apatzingan De La Constitucione	CST	America/Mexico_City
52	MEX	454		-6	Y	FSA-LSO	Agua Caliente  Ojo De Agua 	CST	America/Mexico_City
52	MEX	455		-6	Y	FSA-LSO	Alvaro Obregonjrb	CST	America/Mexico_City
52	MEX	456		-6	Y	FSA-LSO	Cerro Colorado	CST	America/Mexico_City
52	MEX	457		-6	Y	FSA-LSO	Chalchihuites	CST	America/Mexico_City
52	MEX	458		-6	Y	FSA-LSO	Barril, El	CST	America/Mexico_City
52	MEX	459		-6	Y	FSA-LSO	Caracuaro De Morelos	CST	America/Mexico_City
52	MEX	461		-6	Y	FSA-LSO	Celaya, Gto.xad	CST	America/Mexico_City
52	MEX	462		-6	Y	FSA-LSO	Irapuato, Gto.hhm	CST	America/Mexico_City
52	MEX	463		-6	Y	FSA-LSO	Huanuscoub	CST	America/Mexico_City
52	MEX	464		-6	Y	FSA-LSO	Salamanca, Gto.ur	CST	America/Mexico_City
52	MEX	465		-6	Y	FSA-LSO	Carbonerasz	CST	America/Mexico_City
52	MEX	466		-6	Y	FSA-LSO	Cupareoyu	CST	America/Mexico_City
52	MEX	467		-6	Y	FSA-LSO	Apozold	CST	America/Mexico_City
52	MEX	468		-6	Y	FSA-LSO	Covadongathp	CST	America/Mexico_City
52	MEX	469		-6	Y	FSA-LSO	Atarjea, Lawmc	CST	America/Mexico_City
52	MEX	471		-6	Y	FSA-LSO	Acuitzeramow	CST	America/Mexico_City
52	MEX	472		-6	Y	FSA-LSO	Aguas Buenast	CST	America/Mexico_City
52	MEX	473		-6	Y	FSA-LSO	Guanajuato, Gto.u	CST	America/Mexico_City
52	MEX	474		-6	Y	FSA-LSO	Lagos de Moreno, Jal.n	CST	America/Mexico_City
52	MEX	475		-6	Y	FSA-LSO	Bajio De San Josegs	CST	America/Mexico_City
52	MEX	476		-6	Y	FSA-LSO	Caqada De Negrosmzx	CST	America/Mexico_City
52	MEX	477		-6	Y	FSA-LSO	Leon	CST	America/Mexico_City
52	MEX	478		-6	Y	FSA-LSO	General Enrique Estrada	CST	America/Mexico_City
52	MEX	479		-6	Y	FSA-LSO	Leon	CST	America/Mexico_City
52	MEX	481		-6	Y	FSA-LSO	Ciudad Valles, S.L.P.jn	CST	America/Mexico_City
52	MEX	482		-6	Y	FSA-LSO	Agua Buenar	CST	America/Mexico_City
52	MEX	483		-6	Y	FSA-LSO	Chalchocoyoqi	CST	America/Mexico_City
52	MEX	485		-6	Y	FSA-LSO	Bledosejg	CST	America/Mexico_City
52	MEX	486		-6	Y	FSA-LSO	Armadillo De Los Infanteh	CST	America/Mexico_City
52	MEX	487		-6	Y	FSA-LSO	Arroyo Secomw	CST	America/Mexico_City
52	MEX	488		-6	Y	FSA-LSO	Cedral	CST	America/Mexico_City
52	MEX	489		-6	Y	FSA-LSO	Ahuacatlanchi	CST	America/Mexico_City
52	MEX	492		-6	Y	FSA-LSO	Zacatecas, Zac.yk	CST	America/Mexico_City
52	MEX	493		-6	Y	FSA-LSO	Fresnillo, Zac.	CST	America/Mexico_City
52	MEX	494		-6	Y	FSA-LSO	Cargadero, Elcr	CST	America/Mexico_City
52	MEX	495		-6	Y	FSA-LSO	Calvillo	CST	America/Mexico_City
52	MEX	496		-6	Y	FSA-LSO	Amarillas De Esparza  Amarillas p	CST	America/Mexico_City
52	MEX	498		-6	Y	FSA-LSO	Boquilla De Arriba	CST	America/Mexico_City
52	MEX	499		-6	Y	FSA-LSO	Atitanacdp	CST	America/Mexico_City
52	MEX	550		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	551		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	552		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	553		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	554		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	555		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	556		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	557		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	558		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	559		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	560		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	561		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	562		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	563		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	564		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	565		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	566		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	567		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	568		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	569		-6	Y	FSA-LSO	Ciudad de Mexico, D.F.	CST	America/Mexico_City
52	MEX	586	MEX	-6	Y	FSA-LSO	TLALMANALCO	CST	America/Mexico_City
